hyp	tgt
In den USA gibt es einen Arzt, der in die Zukunft schauen kann, eine Krankenschwester, die in einem Moment die Vergangenheit eines jeden Patienten betrachten kann, und weil das ganze Krankenhaus zusammen arbeitet, gibt es eine Familie, die jetzt einfach atmen kann. (Applaus) Irgendwo in Amerika haben wir bereits einige der schwierigsten Fragen des Gesundheitswesens beantwortet.	"Bruno Guissani: Mark, Mark, komm zurück."
Nun, in unserer Stadt, wo die Freiwilligen ein hoch qualifiziertes Berufsstaffel ergänzen, muss man ziemlich früh zur Feuerwache gehen, um an einer Aktion teilzunehmen.	"Nun, in unserer Stadt, in der Freiwillige eine hochqualifizierte Berufsfeuerwehr unterstützten, muss man ziemlich früh an der Brandstelle sein, um mitmischen zu können."
Die Leute von Siemens sind bereit, das zu tun.	Mark Bezos: Vielen Dank.
Ich erinnere mich an mein erstes Feuer.	Ich erinnere mich an mein erstes Feuer.
Ich war der zweite Freiwillige vor Ort, also gab es eine ziemlich gute Chance, dass ich hineinkommen würde.	"Ich war der zweite Freiwillige an der Brandstelle, ich hatte also recht gute Chancen hinein zu können."
Dennoch war es ein echtes Fussrennen gegen die anderen Freiwilligen, um den Kapitän zu erreichen, um herauszufinden, was unsere Aufgaben wären.	Aber es war immer noch ein Wettrennen gegen die anderen Freiwilligen um den verantwortlichen Hauptmann zu erreichen und herauszufinden was unsere Aufgaben sein würden.
Als ich den Kapitän fand, hatte er gerade ein sehr spannendes Gespräch mit dem Hausbesitzer, der kurz vor einem der schlimmsten Tage ihres Lebens stand.	"Als ich den Hauptmann fand, hatte er gerade in eine sehr ernste Unterhaltung mit der Hausbesitzerin, die sicherlich einen der schlimmsten Tage ihres Lebens hatte."
Hier war es mitten in der Nacht, sie stand draußen im stürmenden Regen, unter einem Regenschirm, in ihrem Schlafanzug, barfuß, während ihr Haus in Flammen stand.	"Es war mitten in der Nacht und sie stand im Schlafanzug und barfuß unter einem Schirm draußen im strömenden Regen, während ihr Haus in Flammen stand."
Der andere Freiwillige, der kurz vor mir angekommen war, nennen wir ihn Lex Luther.	"Der andere Freiwillige, der knapp vor mir angekommen war -- nennen wir ihn Lex Luther -- (Gelächter) erreichte den Hauptmann als erstes und wurde gebeten in das Haus zu gehen und den Hund der Hausbesitzerin zu retten. Den Hund! Ich war sprachlos vor Neid."
Hier war ein Anwalt oder Geldverwalter, der für den Rest seines Lebens den Leuten erzählen konnte, dass er in ein brennendes Gebäude ging, um ein Lebewesen zu retten, nur weil er mich um fünf Sekunden geschlagen hatte.	"Da war irgendein Anwalt oder Vermögensverwalter, der nun für den Rest seines Lebens, den Menschen erzählen konnte, dass er in ein brennendes Haus ging um ein Lebewesen zu retten, nur weil er fünf Sekunden schneller war als ich."
Nun, ich war der nächste.	"Nun, ich war der Nächste."
Aber leider sind Bonobos die am wenigsten verstandenen der großen Affen.	Aber leider sind Bonobos am wenigsten bekannt unter den Primaten.
Sie leben in den Tiefen des kongolesischen Dschungels und es war sehr schwer, sie zu erforschen.	"Sie leben in den Tiefen des kongolesischen Urwalds, und sind der Beobachtung nur schwer zugänglich."
Der Kongo ist ein Paradox, ein Land mit außergewöhnlicher Artenvielfalt und Schönheit, aber auch das Herz der Dunkelheit selbst, die Szene eines brutalen Konflikts, der jahrzehntelang gewütet hat und fast so viele Leben gekostet hat wie der Erste Weltkrieg.	"Der Kongo ist ein Paradox -- ein Land außergewöhnlicher Artenvielfalt und Schönheit, aber auch das Herz der Dunkelheit selbst -- der Schauplatz einer gewalttätigen Auseinandersetzung, die seit Jahrzehnten wütet und beinah so viele Leben gefordert hat wie der Erste Weltkrieg."
Es ist nicht überraschend, dass diese Störung auch das Überleben der Bonobos gefährdet.	"Es überrascht nicht, dass diese Zerstörung auch das Überleben der Bonobos gefährdet."
Wir haben den Handel mit Wildfleisch und den Verlust der Wälder. Das heißt, wir könnten kein kleines Stadion mit all den Bonobos füllen, die es noch auf der Welt gibt, und wir sind nicht einmal sicher, ob das wahr ist.	"Fleischhandel und der Rückgang des Baumbestandes führen dazu, dass man nicht mal ein Stadion mit den verbliebenen Bonobos füllen könnte -- und selbst da sind wir nicht sicher, um ehrlich zu sein."
Trotzdem kann man in diesem Land der Gewalt und des Chaos verstecktes Gelächter hören, das die Bäume schüttelt.	"Und doch, in diesem Land von Gewalt und Chaos kann man ein verborgenes Lachen hören, dass die Bäume erschüttert."
Ich komme gerade aus einer Gemeinde, die ein Geheimnis des menschlichen Überlebens beherbergt.	"Ich komme gerade von einer Gemeinschaft zurück, die das Geheimnis des Fortbestands der Menschheit kennt."
"Wer sind diese Kassins? Wir kennen sie als Affen, die ""Liebe, nicht Krieg"" sagen, weil sie häufig, promiskuitiv und bisexuell Sex haben, um Konflikte zu bewältigen und soziale Probleme zu lösen."	"Wer sind diese Verwandten? Wir kennen sie als ""Liebe statt Krieg"" -Affen, denn sie haben häufigen, auch bisexuellen Sex, mit wechselnden Partnern, und regeln so Konflikte und soziale Angelenheiten."
Ich sage nicht, dass dies die Lösung für alle Probleme der Menschheit ist, denn es gibt mehr zu Bonobo-Leben als das Kamasutra.	"Ich sage ja nicht, das wäre die Antwort auf alle humanitären Probleme -- denn das Leben der Bonobos besteht aus mehr als dem Kama Sutra."
Wir Menschen spielen unser ganzes Leben lang gerne.	"Bonobos -- wie Menschen -- lieben es, ihr Leben lang zu spielen."
Spielen ist nicht nur ein Kinderspiel.	Spiel bedeutet nicht nur Kinderspiele.
Für uns und sie ist der Ort grundlegend für die Bindung von Beziehungen und die Förderung von Toleranz.	Für uns und sie ist Spiel grundlegend für die Bindung von Beziehungen und die Pflege der Toleranz.
Es ist dort, wo wir lernen, zu vertrauen und wo wir über die Spielregeln lernen.	Dabei lernen wir Vertrauen und die Regeln des Spiels.
Es geht um die Generation von Vielfalt, Vielfalt der Interaktionen, Vielfalt der Verhaltensweisen, Vielfalt der Verbindungen.	"Spiel steigert Kreativität und Belastbarkeit, und es geht vor allem um die Erzeugung von Vielfalt -- Vielfalt an Interaktionen, Vielfalt an Verhaltensweisen, Vielfalt an Verbindungen."
Es ist ein Ort, wo Frauen die Show leiten, Sex haben, um sich zu verabschieden, und Regeln spielen, wo Spaß ein ernsthaftes Geschäft ist.	"Ein Ort, an dem die Frauen das Zepter führen, mit Sex 'Hallo' sagen, und das Spiel den Tag bestimmt -- wo Spaß eine ernste Angelegenheit ist."
Wenn Sie Bonobos spielen beobachten, sehen Sie die evolutionären Wurzeln von menschlichem Lachen, Tanz und Ritual.	"Und wenn man Bonobos beim Spiel beobachtet, sieht man die evolutionären Ursprünge menschlichen Lachens, Tanzes und von Ritualen."
E ist der Kleber, der uns zusammenhält.	"Spiel ist der Kitt, der uns beieinanderhält."
Ich weiß nicht, wie Sie spielen, aber ich möchte Ihnen ein paar einzigartige Clips zeigen, frisch aus der Wildnis.	"Nun, ich weiß nicht, wie Sie spielen, aber ich möchte Ihnen einige einzigartige Aufnahmen geradewegs aus der Wildnis zeigen."
Zuerst ist es ein Ballspiel, Bonobo-Stil, und ich meine nicht Fußball.	Zuerst ein Ballspiel auf Bonobo-Art -- und ich denke dabei nicht an Fussball.
Hier haben wir ein junges Weibchen und ein Männchen, die ein Verfolgungsspiel spielen.	Also hier sehen wir ein junges Weibchen und Männchen in einem Verfolgungsspiel.
Schauen Sie, was sie macht.	"Sehen sie sich an, was sie macht."
Es könnte der evolutionäre Ursprung des Satzes sein: „Sie hat ihn um die Ecke.“ (Gelächter) Nur dass ich glaube, dass er es hier ziemlich mag, oder?	"Das könnte der evolutionäre Ursprung sein von: ""Sie packt ihn bei den Eiern."" (Lachen) Nur dass ich denke, es gefällt ihm eher, nicht wahr."
Sexspielen kommt also bei Bonobos und Menschen vor.	"Ja! (Lachen) Sexspiele sind also verbreitet, sowohl bei Bonobos als auch bei Menschen."
Und dieses Video ist wirklich interessant, denn es zeigt – (Lachen) – dieses Video ist wirklich interessant, denn es zeigt die Erfindergeist der Einbringung ungewöhnlicher Elemente, wie z.B. Testicles, und es zeigt auch, wie Spielen sowohl Vertrauen erfordert als auch Vertrauen fördert, während es gleichzeitig enorm viel Spaß macht.	"Und dieses Video ist wirklich interessant, denn es zeigt -- Und dieses Video ist wirklich interessant, denn es zeigt den Ideenreichtum, mit dem man neue Elemente ins Spiel bringt -- wie die Hoden -- und auch, wie das Spiel sowohl Vertrauen fordert als auch fördert -- während es gleichzeitig ungeheuren Spaß macht."
Aber platzieren Sie einen Formwandler. (Gelächter) Platzieren Sie einen Formwandler, und er kann viele Formen annehmen, und einige davon sind ruhiger, imaginativer, neugieriger, vielleicht wo Neues entdeckt wird.	"Aber das Spiel ist ein Formwandler. (Lachen) Spiel ist ein Formwandler und es kann viele Formen annehmen, von denen manche etwas ruhiger sind, phantasievoll, neugierig -- vielleicht um das Erstaunen erneut zu entdecken."
Und nein, das ist nicht der brennende Mann oder San Francisco. (Lachen) Meine Damen und Herren, das sind Ihre Cousins.	"Und nein, es ist nicht Burning Man oder San Francisco. (Lachen) Meine Damen und Herren, Ihre Verwandtschaft."
Und ich möchte Ihnen zeigen, das ist Foko, ein junges Weibchen, und sie spielt leise mit Wasser.	"Und ich möchte Ihnen zeigen, das ist Fuku, ein junges Weibchen, und sie spielt friedlich mit Wasser."
Ich denke, wie hier, spielen wir manchmal allein und erforschen die Grenzen unserer inneren und unserer äußeren Welt.	"Ich denke, genau wie sie spielen wir manchmal allein, und wir loten Grenzen unserer inneren und äußeren Welten aus."
Es ist diese spielerische Neugierde, die uns erforschen und interagieren lässt, und dann die unerwarteten Verbindungen, die wir aufbauen, sind das wahre Herzstück der Kreativität.	"Und es ist diese spielerische Neugier die uns forschen lässt, und interagieren. Und die unerwarteten Verknüpfungen, die wir bilden, sind der wirkliche Nährboden der Kreativität."
Das sind nur kleine Einblicke in die Erkenntnisse, die Bonobos uns über Vergangenheit und Gegenwart geben.	"Dies ist nur ein kleiner Vorgeschmack auf die Einblicke, die Bonobos uns in unsere Vergangenheit und Gegenwart gewähren."
Aber sie halten auch ein Geheimnis für unsere Zukunft, eine Zukunft, in der wir uns an eine zunehmend herausfordernde Welt anpassen müssen, durch größere Kreativität und größere Zusammenarbeit.	"Aber sie wahren auch ein Geheimnis für unsere Zukunft, eine Zukunft, in der wir uns anpassen müssen an zunehmende Herausforderungen, durch größere Kreativität und druch verstärkte Kooperation."
Das Geheimnis ist, dass Spiel der Schlüssel zu diesen Fähigkeiten ist.	"Das Geheimnis ist, dass das Spiel der Schlüssel zu diesen Fertigkeiten ist."
Mit anderen Worten, Spiel ist unsere anpassungsfähige Wildkarte.	"Mit anderen Worten, Spiel ist unser Anpassungsjoker."
Um erfolgreich an eine sich verändernde Welt anzupassen, müssen wir spielen.	"Um uns erfolgreich an eine unbeständige Welt anzupassen, müssen wir spielen."
Aber wir werden das Beste aus unserer Verspieltheit machen.	Aber werden wir das Beste aus unserem Spieltrieb machen?
Spielen ist nicht belanglos. Spielen ist essentiell. Für Bonobos und Menschen ist das Leben nicht nur in Zähnen und Krallen geschrieben.	"Spiel ist nicht albern, sondern essentiell. Für Bonobos und Menschen gleichermaßen besteht das Leben nicht aus Zähnen und Klauen allein."
In Zeiten, in denen es am wenigsten angemessen scheint zu spielen, sind es vielleicht die Zeiten, in denen es am dringendsten ist.	Gerade wenn es kaum angebracht scheint ist Spiel vielleicht am nötigsten.
Und so, meine Mitmenschen, lassen Sie uns dieses Geschenk der Evolution annehmen und zusammen spielen, während wir Kreativität, Gemeinschaft und Wunder wiederentdecken.	"Und daher, meine Primatenkameraden, lassen Sie uns dieses Geschenk der Evolution umarmen und gemeinsam spielen, während wir die Kreativität die Kameradschaft und das Staunen wiederentdecken."
Das ist die Welt der wilden Bonobos im Dschungel des Kongo.	Dies ist die Welt der wilden Bonobos im Urwald von Kongo.
Danke.	Danke.
Bonobos sind zusammen mit Schimpansen die nächsten lebenden Verwandten.	Bonobos sind zusammen mit Schimpansen unsere nächsten lebenden Verwandten.
Das bedeutet, dass wir alle einen gemeinsamen Vorfahren haben, eine evolutionäre Großmutter, die vor etwa sechs Millionen Jahren lebte.	"Das bedeutet, wir haben einen gemeinsamen Vorfahren, eine evolutionäre Großmutter, die vor etwa sechs Millionen Jahren lebte."
Schimpansen sind bekannt für ihre Aggression.	"Nun, Schimpansen sind bekannt für ihre Aggressivität."
Aber leider haben wir diesen Aspekt in unseren Geschichten über die menschliche Evolution zu sehr betont.	Aber unglücklicherweise haben wir diesen Aspekt überbetont in der Erzählung der menschlichen Evolution.
Aber Bonobos zeigen uns die andere Seite der Medaille. Während Schimpansen von großen, beängstigenden Typen dominiert werden, wird die Gesellschaft der Bonobos von gestärkten Weibchen geführt.	"Aber Bonobos zeigen uns die andere Seite der Medaille Während Schimpansen von großen, Furcht einflößenden Kerlen geführt werden, wird die Bonobo-Gesellschaft von ermächtigten Weibchen geführt."
Diese Leute haben wirklich etwas herausgefunden, denn das führt zu einer sehr toleranten Gesellschaft, in der noch keine tödliche Gewalt beobachtet wurde.	"Die haben sich da wirklich was ausgedacht, denn das führt zu einer ausgesprochen toleranten Gesellschaft, in der tödliche Gewalt bislang nicht beobachtet wurde."
Lassen Sie mich Ihnen nun Huschka vorstellen, oder den menschlichen, universellen Lastträger.	Lassen SIe mich Ihnen also jetzt HULC vorstellen -- oder den Human Universal Load Carrier.
Ich kann 200 Pfund über viele Stunden über verschiedenes Terrain tragen.	"Soldat: Mit dem HULC-Exoskelett kann ich 200 Pfund über verschiedenartiges Terrain tragen, viele Stunden lang."
Das flexible Design erlaubt tiefen Squats, Krabbeln und agile Bewegungen.	"Sein flexibles Design ermöglicht es, sich tief zu hocken, zu kriechen und höchst wendige Bewegungen auszuführen."
Sinn ist, was ich tun will, wohin ich gehen will, und dann verstärkt es meine Stärke und Ausdauer.	"Es fühlt, was ich machen möchte, wohin ich gehen will und erhöht dann meine Stärke und Ausdauer."
Wir sind mit unserem Industriepartner bereit, dieses Gerät zu präsentieren, dieses neue Exoskelett, dieses Jahr.	"Eythor Bender: Wir sind soweit, mit unserem Industriepartner dieses Gerät vorzustellen, dieses neue Exoskelett in diesem Jahr."
Das ist also echt.	Es ist also wahr.
Jetzt drehen wir unseren Blick auf die Vespa-Nutzer, etwas, worüber ich besonders begeistert bin.	"Lassen Sie uns nun unseren Blick auf die Rollstuhlfahrer richten, etwas, für das ich mich besonders leidenschaftlich einsetze."
Es werden weltweit 68 Millionen Menschen in Rollstühlen leben.	"Es gibt 68 Millionen Menschen, die weltweit geschätzt im Rollstuhl sitzen."
Stellen Sie sich einen variablen Roboter vor, der Ihnen übermenschliche Fähigkeiten verleiht, oder einen anderen, der Rollstuhlfahrer wieder stehen und gehen lassen kann.	"Ich möchte, dass Sie sich jetzt etwas vorstellen, einen tragbaren Roboter, der Ihnen übermenschliche Fähigkeiten verleiht, oder einen anderen, der Rollstuhlfahrern dabei hilft, wieder aufzustehen und zu gehen."
Das ist ungefähr ein Prozent der Gesamtbevölkerung.	Das ist ungefähr ein Prozent der Gesamtbevölkerung.
Das ist eine konservative Schätzung.	Und das ist in der Tat eine konservative Schätzung.
Wir sprechen hier oft über sehr junge Menschen mit Rückenmarksverletzungen, die in der Blüte ihres Lebens, 20, 30, 40, auf eine Wand stoßen und das Fahrrad ist die einzige Möglichkeit.	"Wir sprechen hier oft über sehr junge Personen mit Rückenmarksverletzungen, die in der Blütezeit ihres Lebens -- 20er, 30er, 40er -- vom Schicksal getroffen wurden und der Rollstuhl ist die einzige Option."
Aber es ist auch die alternde Bevölkerung, die sich in Zahlen vervielfacht.	"Aber es geht auch um die alternde Bevölkerung, deren Anzahl sich vervielfacht."
Und die einzige Möglichkeit, so ziemlich, ist der Rollstuhl oder andere Komplikationen.	"Und so ziemlich die einzige Option -- wenn es um einen Hirnschlag geht, oder um andere Komplikationen -- ist der Rollstuhl."
Und das ist tatsächlich für die letzten 500 Jahre, seit seiner sehr erfolgreichen Einführung, muss ich sagen.	"Und so ist es übrigens seit 500 Jahren, seit seiner, wie ich sagen muss, sehr erfolgreichen Einführung."
Also dachten wir, wir würden ein brandneues Kapitel der Mobilität schreiben.	"Wir dachten also, dass wir damit beginnen könnten, ein völlig neues Kapitel zu schreiben im Bereich Mobilität."
Lassen Sie mich Ihnen jetzt Elex vorstellen, die von Amanda Baxter getragen wird, die vor 19 Jahren in Panama City inszeniert wurde. Und als Folge davon war sie 19 Jahre lang nicht in der Lage zu gehen.	"Lassen Sie mich Ihnen nun eLEGS vorstellen, das von Amanda Boxtel getragen wird, die vor 19 Jahren eine Rückenmarksverletzung erlitt, die zum Ergebnis hat, dass Sie nicht mehr laufen konnte seit 19 Jahren und bis jetzt."
Ich bin Amanda.	Amanda Boxtel: Vielen Dank.
Er trägt unseren Elekroschocker. Er hat Sensoren. Er ist völlig nicht-invasiv. Sensoren in den Krücken, die Signale an einen Bordcomputer senden, der hier hinten sitzt.	"EB: Wie ich sagte, Amanda trägt unser eLEGS. Es hat Sensoren -- seine vollständig non-invasiven Sensoren in den Krücken, die Signale zurücksenden an unseren Onboard-Computer, der hier auf ihrem Rücken befestigt ist."
Es gibt auch Batteriepakete, die Motoren antreiben, die an ihren Hüften sitzen, sowie an ihren Kniegelenken, die sie in dieser glatten und sehr natürlichen Gangart vorwärts bewegen.	"Hier sind auch Batteriepackungen, der Motorantrieb befindet sich an ihren Hüften, ebenso wie an ihren Kniegelenken, die sie vorwärts bewegen in dieser ziemlich geschmeidigen und sehr natürlichen Gangart."
Ich war 24 Jahre alt, auf dem Gipfel meiner Karriere, als ein verrückter Salzkristall, während ich Ski herunterfuhr, mich lähmt.	"AB: Ich war 24 Jahre alt und in Bestform, als ein monströser Purzelbaum während ein Skiabfahrt mich paralysierte."
In einem Bruchteil einer Sekunde verlor ich alle Gefühle und Bewegungen unterhalb meines Beins.	Im Bruchteil einer Sekunde verlor ich jedes Gefühl und jede Bewegung unterhalb meines Beckens.
Kurz darauf kam ein Arzt in mein Krankenzimmer und sagte: „Amanda, du wirst nie wieder gehen können.“ Das war vor 19 Jahren.	"Nicht lange danach schritt ein Arzt in mein Krankenzimmer und er sagte: ""Amanda, Sie werden nie wieder gehen können."" Und das war vor 19 Jahren."
Er nahm mir jede Hoffnung.	Er stahl jedes Fünkchen Hoffnung aus meinem Bewusstsein.
Seitdem hat adaptive Technologie mir geholfen zu lernen, wieder Ski zu fahren, zu klettern und sogar ein Handrad zu fahren.	"Anpassungsfähige Technologien haben es mir seitdem ermöglich, zu lernen, wieder Ski zu fahren, zu klettern und sogar mit den Händen Rad zu fahren."
Aber nichts ist erfunden worden, das es mir bis jetzt ermöglicht, zu gehen.	"Aber nichts wurde erfunden, das mich wieder gehen lassen würde, bis jetzt."
Wir bei Berkeley Bionics nennen diese Roboter Exoskelette.	Wir bei Berkeley Bionics nennen diese Roboter Exoskelette.
(Applaus)	Vielen Dank.
Wie Sie sehen können, haben wir die Technologie, wir haben die Plattformen, um mit Ihnen zu diskutieren.	"EB: Wie Sie sehen können, haben wir die Technologie, wir haben die Plattformen, um uns zu treffen und mit Ihnen zu diskutieren."
Es liegt in unseren Händen und wir haben das Potential, das Leben zukünftiger Generationen zu verändern, nicht nur für die Soldaten, oder für Amanda hier und all die Fahrradfahrer, sondern für alle.	"Es liegt in unseren Händen und wir haben das ganze Potenzial hier, um das Leben zu ändern von zukünftigen Generationen -- nicht nur für die Soldaten, oder für Amanda hier und alle Rollstuhlfahrer, sondern für alle."
Danke.	AB: Vielen Dank.
Das sind nichts anderes als etwas, das man morgens anzieht, und es wird einem zusätzliche Stärke geben, es wird Ihre Geschwindigkeit weiter verbessern, und es wird Ihnen zum Beispiel helfen, Ihr Gleichgewicht zu halten.	"Sie sind nichts anderes als etwas, das Sie morgens anlegen und das Ihnen zusätzliche Stärke verleiht und das Ihre Geschwindigkeit weiter erhöhen wird und das Ihnen dabei helfen wird, beispielsweise Ihre Balance zu halten."
Es ist die wahre Integration von Mensch und Maschine.	Das ist in der Tat die wahre Verschmelzung von Mensch und Maschine.
Aber nicht nur das, es wird sich integrieren und Sie in das Universum und andere Geräte dort draußen vernetzen.	Aber nicht nur das -- damit verschmelzen und vernetzen Sie sich mit dem Universum und anderen Geräten da draußen.
Das ist nicht einfach nur Blue-Sky-Thinking.	Das ist nicht einfach nur eine verrückte Idee.
Ich zeige Ihnen jetzt, woran wir arbeiten, indem ich anfange, über den amerikanischen Soldaten zu sprechen, der im Durchschnitt etwa 100 Pfund auf seinem Rücken trägt, und er wird gebeten, mehr Ausrüstung zu tragen.	"Um Ihnen jetzt zu zeigen, woran wir arbeiten, beginnen wir damit, über den amerikanischen Soldaten zu sprechen, der im Durchschnitt ungefähr 100 Pfund auf seinem Rücken trägt und es besteht die Anfrage, dass sie mehr Ausrüstung tragen sollen."
Offensichtlich führt das zu ernsthaften Komplikationen, Rückenverletzungen, 30 Prozent davon, chronische Rückenverletzungen.	"Natürlich führt dies zu einigen bedeutenden Komplikationen -- Rückenverletzungen, 30 Prozent davon -- chronische Rückenverletzungen."
Also dachten wir, wir schauen uns diese Herausforderung an und erschaffen ein Exoskelett, das dabei hilft.	"Wir dachten uns also, dass wir uns dieser Herausforderung annehmen würden und ein Exoskelett erschaffen, das dabei helfen würde, mit diesem Problem umzugehen."
"Der Film kam im Januar in die Kinos, und seitdem, und das ist noch nicht alles, hatten wir mehr als 900 Millionen Medienberichte über diesen Film."	"Laut Burrelles war die Premiere im Januar, und seitdem -- und das ist nicht einmal die ganze Sache -- gab es 900 Millionen Aufrufe von diesem Film."
Das ist nur eine zweieinhalbwöchige Zeitspanne.	Das umfasst tatsächlich nur einen Zeitraum von 2 1 / 2 Wochen.
Es ist nur online, kein Druck, kein Fernsehen.	"Das ist nur Online -- keine Presse, kein Fernsehen."
Der Film wurde noch nicht einmal vertrieben.	Der Film wurde noch nicht ausgeliefert.
Es ist nicht einmal online, es wird nicht einmal gestreamt, es ist noch nicht einmal in anderen Ländern erhältlich.	Es gibt ihn noch nicht einmal online. Kein Streaming. Er ist noch nicht in anderen Ländern raus gekommen.
Letztendlich hat dieser Film bereits viel an Dynamik gewonnen.	"Nun, schließlich hat der Film ein sehr großes Momentum erlangt."
Nicht schlecht für ein Projekt, bei dem fast jede Werbeagentur, mit der wir sprechen, ihren Kunden rät, nicht teilzunehmen.	"Und das ist nicht schlecht für ein Projekt, bei dem fast jede Werbeagentur, mit der wir sprachen, ihren Kunden empfohlen hat, die Finger davon zu lassen."
Was ich immer glaube ist, dass wenn man Chancen nimmt, wenn man Risiken eingeht, dass in diesen Risiken Möglichkeiten entstehen.	"Etwas, woran ich fest glaube, ist, dass wenn man seine Chance ergreift, Risiken eingeht, dass in diesen Risiken Möglichkeiten stecken."
Ich glaube, wenn man Leute davon wegdrängt, bringt man sie mehr zum Scheitern.	"Ich glaube, wenn man Leute davon abhält, dann bringt man sie näher ans Versagen."
Ich glaube, wenn man seine Angestellten risikoscheu ausbildet, dann bereitet man die ganze Firma vor, Belohnung zu suchen.	"Ich glaube, dass, wenn man seine Angestellten trainiert, Risiken zu vermeiden, man die ganze Firma darauf vorbereitet, einen Profit zu erlangen."
Ich denke, was in Zukunft passieren muss, ist, dass wir Menschen ermutigen müssen, Risiken einzugehen.	"Ich habe das Gefühl, dass wir beim Voranschreiten Leute ermutigen müssen, Risiken einzugehen."
